4,0.79,6,140,2,0,0,0,accounting,high0.84,0.74,4,226,2,0,0,0,accounting,high0.17,0.93,5,183,5,0,0,0,accounting,high0.97,0.86,5,135,3,0,0,0,hr,high0.94,0.66,3,236,2,0,0,0,hr,high0.83,0.61,5,257,2,0,0,0,hr,low0.91,0.73,3,155,3,0,0,0,hr,low0.9,0.76,2,211,4,0,0,0,technical,low0.95,0.86,3,207,2,0,0,0,technical,low0.69,0.95,3,126,6,0,0,0,technical,low0.49,0.98,3,267,2,0,0,0,technical,low0.45,0.37,6,226,2,0,0,0,technical,low0.21,0.9,2,239,2,0,0,0,technical,low0.67,0.61,3,202,2,0,0,0,technical,medium0.76,0.62,3,150,2,1,0,0,technical,medium0.19,0.78,5,156,6,0,0,0,technical,medium0.52,0.73,2,233,3,0,0,0,technical,medium0.66,0.59,5,262,2,0,0,0,technical,medium0.95,0.67,3,183,3,0,0,0,support,medium0.95,0.78,4,225,2,0,0,0,support,medium0.57,0.54,5,216,3,0,0,0,support,medium0.48,0.57,5,227,3,0,0,0,support,medium0.95,0.5,4,242,2,0,0,0,support,medium0.7,0.67,4,224,3,0,0,0,support,medium0.48,0.61,3,223,3,1,0,0,support,medium0.62,0.58,3,202,2,0,0,0,support,medium0.58,0.76,3,220,3,0,0,0,support,medium1,0.87,4,129,5,0,0,0,support,medium0.79,0.65,2,193,5,0,0,0,support,medium0.58,0.73,3,165,2,0,0,0,technical,medium0.59,0.79,4,209,2,0,0,0,technical,medium0.66,0.8,4,183,2,1,0,0,technical,medium0.71,0.59,4,138,3,0,0,0,management,medium0.9,0.74,5,152,3,0,0,0,IT,medium0.74,0.63,4,170,2,0,0,0,IT,medium0.66,0.93,5,185,3,0,0,0,IT,medium0.92,0.53,2,249,2,0,0,0,IT,high0.55,0.51,4,155,3,0,0,0,IT,low0.51,0.43,3,204,4,0,0,0,product_mng,medium0.49,0.52,5,188,4,0,0,0,product_mng,medium0.88,0.52,5,264,4,0,0,0,product_mng,medium0.6,0.8,4,146,2,0,0,0,product_mng,medium0.93,0.65,4,212,4,0,0,0,IT,medium0.86,0.59,3,215,3,0,0,0,RandD,medium0.78,0.98,4,239,3,0,0,0,RandD,medium0.69,0.55,3,188,3,0,0,0,RandD,medium0.84,0.51,4,259,3,0,0,0,RandD,medium0.48,0.62,3,200,3,1,0,0,RandD,medium0.63,0.86,3,245,2,0,0,0,marketing,low0.54,0.61,3,182,2,0,0,0,sales,low0.85,0.53,4,181,2,0,0,0,accounting,low0.51,0.52,3,164,3,0,0,0,support,low0.88,0.86,5,257,3,0,0,0,technical,low0.87,0.93,3,178,3,0,0,0,management,low0.54,0.5,4,224,3,0,0,0,marketing,low0.96,0.67,5,170,3,0,0,0,marketing,high0.58,0.75,4,233,2,0,0,0,marketing,low0.21,0.57,5,239,3,0,0,0,sales,high0.5,0.56,5,185,2,0,0,0,sales,high0.52,0.54,4,184,3,0,0,0,sales,low0.5,0.7,3,188,2,0,0,0,sales,low0.74,0.86,3,186,3,1,0,0,sales,high0.69,0.63,3,226,3,0,0,0,sales,low0.61,0.74,2,143,6,0,0,0,sales,medium0.5,0.82,3,213,3,0,0,0,sales,high0.79,0.53,2,217,2,0,0,0,sales,medium0.73,0.68,5,190,2,0,0,0,sales,medium0.49,0.69,2,147,2,0,0,0,sales,medium0.7,0.77,2,235,3,1,0,0,sales,medium0.27,0.62,6,136,3,0,0,0,sales,high0.8,0.54,5,261,2,0,0,0,sales,medium0.45,0.6,6,176,4,0,0,0,sales,medium0.63,0.64,4,212,4,0,0,0,sales,medium0.76,0.52,2,148,3,0,0,0,sales,high0.42,0.74,6,218,6,0,0,0,sales,medium0.41,0.87,6,262,6,0,0,0,sales,high0.74,0.46,6,145,3,0,0,0,accounting,low0.82,0.75,3,230,4,1,0,0,accounting,medium0.82,0.65,4,210,2,0,0,0,accounting,medium0.53,0.73,4,227,3,0,0,0,hr,medium0.71,0.77,4,142,2,0,0,0,hr,medium0.5,0.9,4,171,2,0,0,0,hr,low0.68,0.89,3,241,3,0,0,0,hr,low0.68,0.99,3,247,2,1,0,0,technical,low0.48,0.86,5,246,3,0,0,0,technical,low0.59,0.72,3,188,3,1,0,0,technical,low0.21,0.7,3,104,2,0,0,0,technical,low0.99,0.73,5,197,4,1,0,0,technical,low1,0.88,4,191,4,0,0,0,technical,low0.84,0.51,4,173,2,0,0,0,technical,low0.86,0.82,2,207,4,1,0,0,technical,low0.52,0.54,5,247,4,0,0,0,technical,high0.94,0.97,5,197,5,1,0,0,technical,low0.55,0.81,3,242,2,0,0,0,technical,low0.79,0.59,3,145,2,0,0,0,support,low0.91,0.9,4,174,3,0,0,0,support,low0.82,0.99,3,195,2,0,0,0,support,high0.84,0.94,4,270,3,1,0,0,support,low0.72,0.68,4,238,3,0,0,0,support,low0.68,0.85,4,156,2,0,0,0,support,low0.99,0.96,5,261,3,0,0,0,support,high0.74,0.85,5,135,2,0,0,0,support,low0.8,0.41,6,185,4,0,0,0,support,medium0.55,0.55,3,197,3,0,0,0,support,high0.56,0.95,3,241,3,0,0,0,support,medium0.88,0.98,3,263,3,1,0,0,technical,high0.86,0.49,4,251,2,0,0,0,technical,medium0.64,0.95,3,218,2,0,0,0,technical,medium0.82,0.58,4,183,3,0,0,0,management,medium0.66,0.8,4,252,3,0,0,0,IT,medium0.64,0.95,3,98,3,0,0,0,IT,medium0.17,0.78,6,284,4,0,0,0,IT,medium0.75,0.68,4,220,2,0,0,0,IT,medium0.45,0.39,4,275,3,0,0,0,IT,medium0.99,0.9,4,164,3,0,0,0,product_mng,high0.93,0.67,5,237,4,0,0,0,product_mng,low0.88,0.8,3,133,3,0,0,0,product_mng,medium0.62,0.52,5,256,4,0,0,0,product_mng,medium0.94,0.88,4,270,3,0,0,0,IT,medium0.59,0.92,4,196,2,0,0,0,RandD,medium0.93,0.89,4,209,2,0,0,0,RandD,medium0.71,0.39,3,261,3,0,0,0,RandD,medium0.6,0.6,3,221,2,0,0,0,RandD,medium0.71,0.69,4,180,3,1,0,0,RandD,medium0.91,0.57,4,145,3,0,0,0,marketing,medium0.78,0.96,4,111,2,0,0,0,sales,high0.52,0.63,4,232,3,0,0,0,accounting,low0.99,0.7,5,195,3,0,0,0,support,low0.86,0.51,4,211,2,1,0,0,technical,low0.74,0.68,4,194,2,0,0,0,management,high0.15,0.84,4,275,5,0,0,0,marketing,low0.57,0.54,3,140,3,0,0,0,marketing,low0.67,0.6,3,157,3,0,0,0,marketing,low0.8,0.93,4,258,3,0,0,0,sales,high0.83,0.82,5,273,4,0,0,0,sales,low0.69,0.53,3,135,2,0,0,0,sales,low0.64,0.83,3,188,4,0,0,0,sales,low0.95,0.52,5,222,2,0,0,0,sales,low0.97,0.52,4,231,3,0,0,0,sales,low0.85,0.86,3,255,2,0,0,0,sales,low0.72,0.51,3,254,2,0,0,0,sales,low0.91,0.85,3,244,3,1,0,0,sales,medium0.81,0.83,3,132,4,0,0,0,sales,medium0.13,0.67,5,234,6,0,0,0,sales,medium0.95,0.81,4,272,3,0,0,0,sales,medium0.82,0.54,4,191,3,0,0,0,sales,medium0.63,0.93,4,238,4,0,0,0,sales,medium0.55,0.69,3,225,2,0,0,0,sales,medium0.83,0.95,3,211,2,0,0,0,sales,medium0.54,0.98,3,217,3,0,0,0,sales,medium0.89,0.91,5,156,4,0,0,0,sales,medium0.79,0.55,3,147,3,0,0,0,sales,medium0.56,0.73,4,134,3,0,0,0,accounting,medium0.89,0.7,4,235,2,1,0,0,accounting,high1,0.66,4,238,4,0,0,0,accounting,low0.43,0.72,3,258,4,0,0,0,hr,medium0.71,0.55,5,224,3,0,0,0,hr,medium0.98,0.59,4,149,2,0,0,0,hr,medium0.81,0.7,4,219,2,1,0,0,hr,medium0.71,0.53,3,186,2,0,0,0,technical,low0.99,0.6,4,259,4,0,0,0,technical,low0.34,0.62,3,119,2,0,0,0,technical,low0.58,0.91,3,223,2,0,0,0,technical,low0.77,0.49,4,184,3,0,0,0,technical,low0.64,0.5,3,238,4,0,0,0,technical,low0.13,1,4,157,5,1,0,0,technical,low0.98,0.6,2,249,3,0,0,0,technical,low0.72,0.84,4,195,2,0,0,0,technical,low0.55,0.79,3,162,2,0,0,0,technical,low0.62,0.91,4,231,3,0,0,0,technical,low0.74,0.91,2,264,3,0,0,0,support,low0.69,0.96,3,210,3,0,0,0,support,low0.6,0.63,4,192,3,0,0,0,support,low0.54,0.43,3,192,2,0,0,0,support,low0.56,0.75,4,249,3,0,0,0,support,low0.58,0.86,5,206,3,0,0,0,support,low0.21,0.66,4,165,5,0,0,0,support,low0.52,0.85,5,183,3,0,0,0,support,low0.98,0.7,4,253,2,0,0,0,support,low0.85,0.97,3,256,3,0,0,0,support,low0.62,0.88,2,263,4,0,0,0,support,medium0.63,0.61,3,234,3,1,0,0,technical,medium0.84,0.97,6,223,2,0,0,0,technical,medium0.71,0.69,2,172,3,0,0,0,technical,medium0.36,0.55,6,226,6,0,0,0,management,medium0.79,0.56,6,205,4,1,0,0,IT,medium0.59,0.55,4,235,2,0,0,0,IT,medium0.5,0.53,4,263,3,0,0,0,IT,medium0.88,0.66,4,271,3,1,0,0,IT,medium0.65,0.69,6,131,5,0,0,0,IT,medium0.71,0.56,4,238,4,0,0,0,product_mng,medium0.89,0.54,3,214,2,0,0,0,product_mng,medium0.83,0.84,3,267,3,0,0,0,product_mng,high0.73,0.53,3,184,2,0,0,0,product_mng,low0.71,0.67,3,264,3,0,0,0,IT,medium0.53,0.66,3,109,2,0,0,0,RandD,medium0.74,0.7,3,253,4,1,0,0,RandD,medium0.6,0.52,4,207,2,1,0,0,RandD,medium0.47,0.6,4,263,5,0,0,0,RandD,low0.88,0.88,3,214,2,1,0,0,RandD,low0.62,0.67,2,153,3,0,0,0,marketing,low0.24,0.48,5,123,5,1,0,0,sales,low0.15,0.36,5,159,2,0,0,0,accounting,low0.92,0.82,3,185,3,0,0,0,support,low0.74,0.7,4,167,3,1,0,0,technical,low0.86,0.77,3,271,3,0,0,0,management,low0.96,0.61,3,140,3,0,0,0,marketing,low0.54,0.6,4,141,3,0,0,0,marketing,low0.99,0.87,4,190,2,0,0,0,marketing,low0.72,0.73,5,134,2,0,0,0,sales,low0.96,0.75,5,176,4,0,0,0,sales,low0.73,0.73,4,194,2,0,0,0,sales,low0.67,0.44,5,212,4,0,0,0,sales,low0.58,0.72,5,234,3,1,0,0,sales,low0.9,0.99,4,190,2,0,0,0,sales,low0.99,0.37,5,155,3,0,0,0,sales,low0.89,0.58,4,232,2,0,0,0,sales,low0.72,0.95,4,216,3,0,0,0,sales,low0.77,0.8,3,207,3,0,0,0,sales,low0.8,0.94,4,200,4,0,0,0,sales,medium0.89,0.86,3,178,4,0,0,0,sales,medium0.59,0.81,4,173,2,0,0,0,sales,medium0.24,0.87,5,268,5,0,0,0,sales,medium0.94,0.59,6,212,2,0,0,0,sales,medium0.74,0.5,4,216,3,0,0,0,sales,medium0.63,0.62,5,212,6,0,0,0,sales,medium0.63,0.59,3,155,3,1,0,0,sales,medium0.77,0.65,4,164,2,0,0,0,sales,medium0.87,0.74,3,209,3,0,0,0,accounting,medium0.79,0.61,4,136,3,0,0,0,accounting,medium0.54,0.84,4,223,3,0,0,0,accounting,medium0.59,0.83,4,239,4,0,0,0,hr,high0.86,0.87,3,205,4,0,0,0,hr,low0.98,0.68,3,203,3,0,0,0,hr,medium1,0.79,5,152,4,0,0,0,hr,medium0.9,0.79,4,236,3,1,0,0,technical,medium0.34,0.6,4,114,3,0,0,0,technical,medium0.95,0.93,3,209,2,0,0,0,technical,low0.79,0.48,4,178,2,0,0,0,technical,low0.13,0.91,4,175,5,0,0,0,technical,low0.72,0.69,3,270,4,0,0,0,technical,low0.63,0.54,3,145,2,1,0,0,technical,low0.81,0.76,5,134,2,0,0,0,technical,low0.71,0.75,4,272,4,0,0,0,technical,low0.49,0.76,3,208,2,0,0,0,technical,low0.59,0.65,4,219,3,1,0,0,technical,low0.87,0.59,5,154,3,0,0,0,support,low0.66,0.6,3,179,4,0,0,0,support,low0.78,0.92,5,137,2,0,0,0,support,low0.65,0.7,4,211,2,0,0,0,support,low0.8,0.97,5,271,4,0,0,0,support,low0.56,0.75,4,192,2,0,0,0,support,low0.85,0.67,4,228,4,0,0,0,support,low0.14,0.46,2,267,6,1,0,0,support,low0.74,0.62,4,272,2,0,0,0,support,low0.86,0.93,2,260,2,0,0,0,support,low0.71,0.96,4,161,3,0,0,0,support,low0.83,0.99,4,226,2,0,0,0,technical,low0.52,0.49,4,249,4,1,0,0,technical,medium0.63,0.8,3,243,3,0,0,0,technical,medium0.92,0.93,4,247,2,0,0,0,management,medium0.66,0.87,3,186,2,0,0,0,IT,medium0.77,0.7,3,155,3,0,0,0,IT,medium0.74,0.97,2,135,4,0,0,0,IT,medium0.81,0.76,5,198,4,0,0,0,IT,medium0.67,0.55,3,175,2,0,0,0,IT,medium0.75,0.92,3,192,3,0,0,0,product_mng,medium0.65,0.36,2,282,3,0,0,0,product_mng,medium0.81,0.6,4,179,3,0,0,0,product_mng,medium0.57,0.77,4,245,3,0,0,0,product_mng,medium0.89,0.66,4,235,3,0,0,0,IT,high0.5,0.56,4,266,2,0,0,0,RandD,low0.21,0.42,4,269,4,1,0,0,RandD,medium0.79,0.67,3,264,2,0,0,0,RandD,medium0.66,0.57,3,161,2,1,0,0,RandD,medium0.82,0.95,3,203,3,0,0,0,RandD,medium0.85,0.85,4,258,2,0,0,0,marketing,low0.72,0.96,3,143,3,0,0,0,sales,low0.52,0.92,3,214,3,0,0,0,accounting,low0.5,0.62,4,166,3,1,0,0,support,low0.52,0.82,3,192,3,0,0,0,technical,low0.13,0.87,3,185,4,1,0,0,management,low0.87,0.98,4,173,3,0,0,0,marketing,low0.53,0.98,2,163,3,0,0,0,marketing,low0.15,0.76,5,277,4,0,0,0,marketing,low0.64,0.86,5,274,2,1,0,0,sales,low0.52,0.44,3,119,2,0,0,0,sales,low0.79,0.67,4,267,3,0,0,0,sales,low0.74,0.89,3,160,2,0,0,0,sales,low0.81,0.84,4,198,2,0,0,0,sales,low0.94,0.6,3,193,3,0,0,0,sales,low0.67,0.84,6,250,2,0,0,0,sales,low0.93,0.84,3,237,4,1,0,0,sales,low0.52,0.96,4,170,2,0,0,0,sales,low0.48,0.74,2,157,2,1,0,0,sales,medium0.57,0.92,6,267,4,0,0,0,sales,medium0.71,0.77,4,192,4,0,0,0,sales,medium0.9,0.74,4,218,2,1,0,0,sales,medium0.58,0.61,4,210,3,0,0,0,sales,medium0.66,0.48,4,229,4,0,0,0,sales,medium0.59,0.66,3,186,3,0,0,0,sales,medium0.96,0.5,3,234,2,1,0,0,sales,medium0.13,0.91,2,149,5,0,0,0,sales,medium0.93,0.92,3,205,3,0,0,0,sales,medium0.54,0.72,3,148,4,0,0,0,accounting,medium0.54,0.77,5,270,3,0,0,0,accounting,medium0.87,0.62,3,176,3,0,0,0,accounting,high0.79,0.91,3,226,2,0,0,0,hr,low0.83,0.57,3,232,4,0,0,0,hr,medium0.73,0.6,3,137,3,0,0,0,hr,medium0.29,0.42,6,253,3,0,0,0,hr,medium0.8,0.7,6,231,4,0,0,0,technical,medium0.29,0.81,3,189,6,0,0,0,technical,low0.43,0.85,6,168,2,0,0,0,technical,low0.99,0.93,3,261,3,0,0,0,technical,low0.86,0.51,4,152,3,0,0,0,technical,low0.85,0.78,5,263,2,1,0,0,technical,low0.66,0.68,3,258,3,0,0,0,technical,low0.57,0.99,3,205,3,0,0,0,technical,low0.31,0.64,6,183,2,1,0,0,technical,low0.88,0.88,3,153,3,0,0,0,technical,low0.72,0.72,5,194,4,0,0,0,technical,low0.75,0.66,4,202,2,0,0,0,support,low0.82,0.71,4,164,4,0,0,0,support,low0.82,0.67,3,213,2,0,0,0,support,low0.15,0.52,4,265,6,0,0,0,support,low0.16,0.88,6,218,3,0,0,0,support,low0.95,0.4,5,286,4,0,0,0,support,low0.87,0.73,3,172,3,1,0,0,support,low0.85,0.89,4,251,2,0,0,0,support,low0.58,0.6,3,110,3,1,0,0,support,low0.63,0.86,3,269,4,0,0,0,support,low0.69,0.68,3,151,3,1,0,0,support,low0.53,0.85,5,161,2,0,0,0,technical,medium0.96,0.71,4,210,3,0,0,0,technical,medium0.73,0.83,2,167,3,0,0,0,technical,medium0.5,0.6,3,270,3,1,0,0,management,medium0.81,0.83,3,133,3,1,0,0,IT,medium0.82,0.59,3,249,3,0,0,0,IT,medium0.76,0.72,4,266,3,0,0,0,IT,medium0.27,0.82,4,276,2,0,0,0,IT,medium0.64,0.38,6,215,3,0,0,0,IT,medium0.57,0.9,3,262,2,0,0,0,product_mng,medium0.49,0.84,5,193,3,0,0,0,product_mng,medium0.66,0.92,2,102,4,0,0,0,product_mng,medium0.71,0.36,4,278,4,1,0,0,product_mng,high0.61,0.63,3,250,4,0,0,0,IT,low0.52,0.89,5,193,4,0,0,0,RandD,medium0.62,0.91,3,133,3,0,0,0,RandD,medium0.98,0.65,4,216,4,0,0,0,RandD,medium0.67,0.56,5,174,2,1,0,0,RandD,medium0.85,0.62,2,280,4,0,0,0,RandD,low0.84,0.85,4,246,2,0,0,0,marketing,low1,0.53,3,142,3,0,0,0,sales,low0.72,0.76,4,144,3,1,0,0,accounting,low0.66,0.75,6,100,4,1,0,0,support,low0.64,0.71,5,212,2,0,0,0,technical,low1,0.76,5,201,3,0,0,0,management,low0.75,0.59,5,206,2,0,0,0,marketing,low0.81,0.77,4,197,3,0,0,0,marketing,low0.31,0.98,5,232,5,0,0,0,marketing,low0.32,0.97,6,272,2,0,0,0,sales,low0.48,0.5,4,173,3,0,0,0,sales,low0.62,0.42,2,124,2,0,0,0,sales,low0.77,0.86,5,282,4,0,0,0,sales,low0.76,0.8,2,219,4,1,0,0,sales,low0.68,0.41,3,106,6,0,0,0,sales,low0.72,0.79,4,192,4,0,0,0,sales,low0.87,0.91,5,190,2,0,0,0,sales,low0.59,0.57,2,156,2,0,0,0,sales,low0.7,0.64,3,180,2,0,0,0,sales,low0.73,0.81,4,245,2,0,0,0,sales,low0.58,0.62,3,169,2,0,0,0,sales,medium0.64,0.66,3,188,4,0,0,0,sales,medium0.89,0.66,5,224,2,0,0,0,sales,medium0.95,0.71,3,263,2,1,0,0,sales,medium0.84,0.9,3,262,2,0,0,0,sales,medium0.6,0.99,4,225,3,0,0,0,sales,medium0.71,0.63,5,224,3,1,0,0,sales,medium0.6,0.95,3,266,3,0,0,0,sales,medium0.91,0.68,3,218,3,1,0,0,accounting,medium0.75,1,3,102,3,0,0,0,accounting,medium0.7,0.67,4,181,3,0,0,0,accounting,medium0.23,0.64,5,150,5,0,0,0,hr,medium0.73,0.83,4,270,2,0,0,0,hr,high0.99,0.49,4,270,2,0,0,0,hr,low0.62,0.68,5,265,3,0,0,0,hr,medium0.98,0.89,4,169,3,0,0,0,technical,medium0.61,0.94,3,224,4,0,0,0,technical,medium0.52,0.92,3,150,2,1,0,0,technical,medium0.65,0.66,5,239,4,0,0,0,technical,low0.59,0.9,3,245,3,1,0,0,technical,low0.71,0.8,3,182,2,1,0,0,technical,low0.18,0.7,5,182,4,0,0,0,technical,low0.21,0.93,4,243,4,0,0,0,technical,low0.15,0.67,6,209,5,0,0,0,technical,low0.97,0.53,4,195,4,0,0,0,technical,low0.39,0.48,3,190,2,0,0,0,technical,low0.35,0.66,2,140,2,0,0,0,support,medium0.88,0.58,4,147,4,0,0,0,support,medium0.58,0.97,3,265,3,0,0,0,support,medium0.61,0.78,3,238,2,0,0,0,support,medium0.59,0.98,3,155,3,0,0,0,support,medium0.55,0.41,4,132,5,1,0,0,support,medium0.52,0.8,5,257,3,0,0,0,support,medium0.71,0.77,2,255,3,0,0,0,support,medium0.63,0.82,5,229,2,0,0,0,support,medium0.17,0.84,5,216,4,0,0,0,support,medium0.95,0.49,4,269,4,0,0,0,support,medium1,0.73,3,205,2,0,0,0,technical,medium0.73,0.96,2,151,3,0,0,0,technical,medium0.8,0.64,4,246,3,1,0,0,technical,medium0.63,0.8,4,256,4,0,0,0,management,medium0.95,0.59,4,235,3,0,0,0,IT,medium0.75,0.83,4,229,2,0,0,0,IT,medium0.64,0.72,5,158,3,0,0,0,IT,medium0.72,1,3,197,3,0,0,0,IT,medium0.72,0.53,3,151,4,0,0,0,IT,medium0.85,0.63,3,167,3,0,0,0,product_mng,medium0.24,0.94,4,146,4,0,0,0,product_mng,medium0.69,0.53,4,281,4,0,0,0,product_mng,medium0.69,0.7,3,212,2,0,0,0,product_mng,medium0.87,0.59,5,261,3,0,0,0,IT,medium0.78,0.91,3,238,2,0,0,0,RandD,high0.76,0.74,4,235,3,0,0,0,RandD,high0.35,0.7,3,107,3,0,0,0,RandD,high0.88,0.59,6,243,4,0,0,0,RandD,high0.78,0.79,5,233,3,1,0,0,RandD,high0.36,0.42,3,206,5,0,0,0,marketing,high0.24,0.7,5,172,4,0,0,0,sales,high0.55,0.82,3,248,2,0,0,0,accounting,high0.91,0.53,3,147,4,1,0,0,support,high0.66,0.61,5,259,3,0,0,0,technical,high0.57,0.82,3,267,3,0,0,0,management,high0.64,0.64,3,263,3,0,0,0,marketing,high0.63,0.98,3,160,4,1,0,0,marketing,low0.49,0.92,5,176,3,0,0,0,marketing,low0.7,0.7,3,224,3,0,0,0,sales,low0.3,0.71,3,155,2,0,0,0,sales,low0.51,0.52,3,132,3,0,0,0,sales,low0.71,0.87,5,173,3,0,0,0,sales,low0.64,0.67,3,165,3,0,0,0,sales,low0.67,0.66,6,272,3,0,0,0,sales,low0.83,0.94,5,156,3,1,0,0,sales,low0.92,0.96,3,154,2,1,0,0,sales,low0.84,0.53,3,237,3,1,0,0,sales,low0.97,0.75,2,271,6,0,0,0,sales,low0.19,0.91,6,152,3,0,0,0,sales,low0.86,0.51,4,152,3,1,0,0,sales,low0.71,0.69,3,172,3,0,0,0,sales,low0.76,0.56,4,214,2,1,0,0,sales,medium0.68,0.88,5,201,3,0,0,0,sales,medium0.61,0.99,2,275,3,1,0,0,sales,medium0.85,0.79,3,156,3,0,0,0,sales,medium0.84,0.89,3,234,2,0,0,0,sales,medium0.62,0.63,2,123,2,0,0,0,sales,medium0.77,0.76,3,201,4,0,0,0,accounting,medium0.79,0.93,5,160,4,1,0,0,accounting,medium0.97,0.5,3,173,2,0,0,0,accounting,medium0.59,0.61,4,141,2,1,0,0,hr,medium0.93,0.62,3,231,6,0,0,0,hr,medium0.85,0.54,4,174,2,0,0,0,hr,medium0.7,0.57,4,211,3,0,0,0,hr,high0.54,0.91,3,249,3,0,0,0,technical,high0.42,0.86,2,108,5,0,0,0,technical,high0.96,0.75,4,165,3,0,0,0,technical,high0.58,0.8,3,181,4,0,0,0,technical,high0.61,0.59,3,237,2,0,0,0,technical,high0.62,0.97,5,180,2,0,0,0,technical,high0.68,0.7,3,209,3,0,0,0,technical,high0.6,0.73,3,191,5,1,0,0,technical,low0.7,0.91,4,181,2,1,0,0,technical,low0.65,0.55,4,250,2,0,0,0,technical,low0.48,0.59,2,179,2,0,0,0,technical,low0.75,0.73,3,225,4,0,0,0,support,low0.69,0.78,5,267,2,1,0,0,support,low0.34,0.46,2,169,2,1,0,0,support,low0.59,0.49,4,164,3,0,0,0,support,low0.94,0.95,4,155,3,0,0,0,support,medium0.98,0.77,5,223,2,1,0,0,support,medium0.72,0.66,3,160,3,0,0,0,support,medium0.79,0.7,4,268,2,0,0,0,support,medium0.54,0.61,4,151,4,1,0,0,support,medium0.73,0.95,3,156,2,0,0,0,support,medium0.82,0.58,4,136,3,0,0,0,support,medium0.57,0.45,3,189,2,0,0,0,technical,medium0.98,0.93,5,203,2,0,0,0,technical,medium0.91,0.65,5,174,2,0,0,0,technical,medium0.72,0.91,3,239,2,0,0,0,management,medium0.48,0.73,5,152,6,0,0,0,IT,medium0.57,0.86,4,268,6,0,0,0,IT,medium0.86,0.96,4,146,3,0,0,0,IT,medium0.63,0.85,3,232,4,0,0,0,IT,medium0.81,0.52,3,255,5,0,0,0,IT,medium0.21,0.37,4,129,4,0,0,0,product_mng,medium0.9,0.66,3,261,3,1,0,0,product_mng,medium0.79,0.78,3,101,2,1,0,0,product_mng,medium0.95,0.49,4,229,3,0,0,0,product_mng,medium0.29,0.43,3,162,4,0,0,0,IT,medium0.81,0.52,4,270,3,0,0,0,RandD,medium0.21,0.56,6,277,5,0,0,0,RandD,medium0.7,0.83,5,261,4,0,0,0,RandD,high0.66,0.64,4,204,2,0,0,0,RandD,low0.16,0.86,2,215,2,0,0,0,RandD,medium0.72,0.8,3,219,3,0,0,0,marketing,medium0.51,0.5,3,147,4,0,0,0,sales,medium0.59,0.63,5,243,2,0,0,0,accounting,medium0.66,0.4,2,155,5,1,0,0,support,medium0.69,0.84,3,253,2,0,0,0,technical,medium0.69,0.94,4,235,3,0,0,0,management,medium0.89,0.79,5,257,3,0,0,0,marketing,medium0.52,0.56,4,225,2,0,0,0,marketing,medium0.91,0.91,3,167,3,0,0,0,marketing,medium0.96,0.53,5,224,4,0,0,0,sales,low0.8,0.58,5,127,3,0,0,0,sales,low0.55,0.77,3,256,3,1,0,0,sales,low0.93,0.63,4,233,2,0,0,0,sales,low0.93,0.86,4,169,4,0,0,0,sales,low0.54,0.48,3,152,2,0,0,0,sales,low0.48,0.76,5,236,2,0,0,0,sales,low0.19,0.99,3,154,2,0,0,0,sales,high0.95,0.71,3,223,2,0,0,0,sales,low0.96,0.81,4,211,3,0,0,0,sales,high0.63,0.89,4,192,2,0,0,0,sales,high0.81,0.8,4,227,2,1,0,0,sales,low0.5,0.88,4,265,3,1,0,0,sales,low0.76,0.72,5,228,2,0,0,0,sales,high0.84,0.49,4,152,3,0,0,0,sales,low0.2,0.95,5,169,5,0,0,0,sales,medium0.78,0.92,3,169,3,0,0,0,sales,high0.8,0.68,4,157,3,0,0,0,sales,medium0.94,0.57,4,251,2,1,0,0,sales,medium0.44,0.74,5,253,2,0,0,0,accounting,medium0.92,0.85,3,155,2,0,0,0,accounting,mediu